region,area,sektor,target_count
Surabaya Niaga,SME Banking Center Surabaya Niaga,Perdagangan,7
Surabaya Niaga,SME Banking Center Surabaya Niaga,Penyediaan Akomodasi dan Penyediaan Makan Minum,5
Surabaya Niaga,SME Banking Center Surabaya Niaga,Lainnya,6
Surabaya Pemuda,SME Banking Floor Jember,Pertanian dan Perkebunan,13
Surabaya Pemuda,SME Banking Floor Jember,Industri Pengolahan,2
Surabaya Pemuda,SME Banking Floor Jember,Perdagangan,3
Surabaya Pemuda,SME Banking Floor Jember,Lainnya,1
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,Industri Pengolahan,12
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,Konstruksi,3
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,Perdagangan,7
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,Penyediaan Akomodasi dan Penyediaan Makan Minum,5
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,Lainnya,6
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,Industri Pengolahan,6
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,Konstruksi,3
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,Perdagangan,5
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,Lainnya,5
Malang,SME Banking Center Malang,Pertanian dan Perkebunan,2
Malang,SME Banking Center Malang,Industri Pengolahan,5
Malang,SME Banking Center Malang,Konstruksi,1
Malang,SME Banking Center Malang,Perdagangan,8
Malang,SME Banking Center Malang,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Malang,SME Banking Center Malang,Lainnya,3
Samarinda,SME Banking Floor Balikpapan,Pertanian dan Perkebunan,4
Samarinda,SME Banking Floor Balikpapan,Industri Pengolahan,1
Samarinda,SME Banking Floor Balikpapan,Konstruksi,3
Samarinda,SME Banking Floor Balikpapan,Perdagangan,3
